Bakery,Address
The Sweet Life Bakeshop,"740 South St Philadelphia, PA 19147"
The Bakeshop on 20th,"269 S 20th St Philadelphia, PA 19103"
Beiler's Bakery,"51 N 12th St Philadelphia, PA 19107"
Bread Top House,"1041 Race St Philadelphia, PA 19107"
J'aime French Bakery,"212 S 12th St Philadelphia, PA 19107"
A LA Mousse,"145 N 11th St Philadelphia, PA 19107"
Au Fouril,"234 Woodbine Ave Narberth, PA 19072"
Isgro Pastries,"1009 Christian St Philadelphia, PA 19147"
Frangelli's Bakery,"847 W Ritner St Philadelphia, PA 19148"
Nook Bakery & Coffee Bar,"15 S 20th St Philadelphia, PA 19103"
Termini Bros Bakery,"1701 John F Kennedy Blvd Philadelphia, PA 19103"
Oui,"160 N 3rd St Philadelphia, PA 19106"
Maison Sweet,"2930 Chestnut St Philadelphia, PA 19104"
Mayflower Bakery & Cafe,"1008 Race St Philadelphia, PA 19107"
Termini Bros Bakery,"1523 S 8th St Philadelphia, PA 19147"
Four Worlds Bakery,"4634 Woodland Philadelphia, PA 19143"
Tartes Pastry Shop,"212 Arch St Philadelphia, PA 19106"
Tartes Pastry Shop,"901 N 3rd St Philadelphia, PA 19123"
Ursa Bakery,"N 22nd St & Fairmount Ave Philadelphia, PA 19130"
The Frosted Fox Cake Shop,"6511 Germantown Ave Philadelphia, PA 19119"
Haegele's Bakery,"4164 Barnett St Philadelphia, PA 19135"
KC's Pastries,"109 N 10th St Philadelphia, PA 19107"
Machine Shop,"1901 S 9th St Philadelphia, PA 19148"
Gran Caffe L'Aquila,"1716 Chestnut St Philadelphia, PA 19103"
Sarcone's Bakery,"758 S 9th St Philadelphia, PA 19147"
Mighty Bread Company,"1211 Gerritt St Philadelphia, PA 19147"
Metropolitan Bakery,"262 S 19th St Philadelphia, PA 19103"
Cake Life Bake Shop,"1306 Frankford Ave Philadelphia, PA 19125"
Whipped Bakeshop,"636 Belgrade St Philadelphia, PA 19125"
Amigo's Bakery,"2327 S 12th St Philadelphia, PA 19148"
Artisan Boulanger Patissier,"1218 Mifflin St Philadelphia, PA 19148"
Stock's Bakery,"2614 E Lehigh Ave Philadelphia, PA 19125"
The Kettle Black,"631 N 2nd St Philadelphia, PA 19123"
Kouklet Brazilian Bakehouse,"1647 E Passyunk Ave Philadelphia, PA 19148"
Cake Life Bake Shop,"1306 Frankford Ave Philadelphia, PA 19125"
Sweet Box Cupcakes,"339 S 13th St Philadelphia, PA 19107"
La Rosas Cafeteria y Panaderia,"1712 S 8th St Philadelphia, PA 19148"
R Weinrich German Bakery,"3545 W Chester Pike Newtown Square, PA 19073"
Aurora Grace,"225 S 18th St Philadelphia, PA 19103"
Brewerytown Bakery,"2949 W Girard Ave Philadelphia, PA 19130"
Matcha Panda Cafe,"202 N 9th St Philadelphia, PA 19107"
Lost Bread Co.,"1313 N Howard St Philadelphia, PA 19122"
Sol Levante Bakery,"1923 Cheltenham Ave Cheltenham, PA 19012"
Miguelina Bakery,"4928 Westfield Ave Pennsauken Township, NJ 08110"
Merenda Box,"801 E Hector St Conshohocken, PA 19428"
Essen Bakery,"1437 E Passyunk Ave Philadelphia, PA 19147"
Bredenbeck's Bakery & Ice Cream Parlor,"8126 Germantown Ave Philadelphia, PA 19118"
Coffee Cream & Dreams,"1436 Fairmount Ave Philadelphia, PA 19130"
Cacia's Bakery,"1526 W Ritner St Philadelphia, PA 19145"
Tous Les Jours,"826 Haddonfield Rd Cherry Hill, NJ 08002"
Ramona Susan's Bake Shop,"1255 Marlborough St Philadelphia, PA 19125"
Darnel's Cakes,"444 N 3rd St Philadelphia, PA 19123"
K'Far Cafe,"110 S 19th St Philadelphia, PA 19103"
Tasty Twisters Bakery,"5002 Umbria St Philadelphia, PA 19128"
Paris Baguette,"1717 Chestnut St Philadelphia, PA 19103"
BUY the Dozen,"123 W. Rockland St. Philadelphia, PA 19120"
Dodo Bakery,"2653 S 11th St Philadelphia, PA 19148"
Denise's Delicacies,"2916 N 22nd St Philadelphia, PA 19132"
Small Oven Pastry Shop,"2204 Washington Ave Philadelphia, PA 19146"
Sugar Moon,"6009 Ridge Ave Philadelphia, PA 19128"
Danish Bakers,"107 Huntingdon Pike Rockledge, PA 19046"
International Bakery,"232 N 10th St Philadelphia, PA 19107"
Cake & Joe,"2012 Frankford Ave Philadelphia, PA 19125"
Varallo Brothers Bakery,"1639 S 10th St Philadelphia, PA 19148"
Heung Fa Chun Sweet House,"112 N 10th St Philadelphia, PA 19107"
My Old Place Bakery,"201 Shadeland Ave Lansdowne, PA 19050"
Holmesburg Bakery,"7935 Frankford Ave Philadelphia, PA 19136"
Baltic Bakery,"2617 E Allegheny Ave Philadelphia, PA 19134"
Termini Bros Bakery,"12th St & Filbert St Reading Terminal Market Philadelphia, PA 19107"
Tous Les Jours,"50 Yorktown Plaza Elkins Park, PA 19027"
Rolings Bakery,"7848 Montgomery Ave Elkins Park, PA 19027"
Weinrich's Bakery,"55 Easton Rd Willow Grove, PA 19090"
Artisan Boulanger Patissier,"29 W State St Media, PA 19063"
FRIEDA,"320 Walnut St Philadelphia, PA 19106"
Marchiano's Bakery,"4653 Umbria St Philadelphia, PA 19127"
Gilda Cafe and Market,"300 E Girard Ave Philadelphia, PA 19125"
Zhong Gang Bakery,"127 N 10th St Philadelphia, PA 19107"
McMillan's Bakery,"15 Haddon Ave Haddon Township, NJ 08108"
Carlo's Bakery,"2101 Walnut St Philadelphia, PA 19103"
Faragalli's Bakery,"1400 S 13th St Philadelphia, PA 19147"
Enswell,"1528 Spruce St Philadelphia, PA 19102"
J'aime French Café,"1644 Pine St Philadelphia, PA 19103"
Vibrant Coffee Roasters & Bakery,"222 W Rittenhouse Sq Fl 1 Philadelphia, PA 19103"
Lily Of The Valley Cupcakery and Café,"26 W Maplewood Mall Philadelphia, PA 19144"
Stoltzfus Baked Goods,"120 Coulter Ave Ardmore, PA 19003"
The Night Kitchen,"7725 Germantown Ave Philadelphia, PA 19118"
Twisted Grounds,"47 N 20th St Philadelphia, PA 19130"
Merzbacher's of Germantown,"4530 Germantown Ave Philadelphia, PA 19144"
Paris Baguette,"3816 Chestnut St Unit 9 Philadelphia, PA 19104"
Cafe Roma Bakery,"6147 Ridge Ave Philadelphia, PA 19128"
Silvia Bakery,"2530 N. 2nd St Philadelphia, PA 19133"
Suraya,"1528 Frankford Ave Philadelphia, PA 19125"
Nutmeg Cake Design,"220 Krams Ave Philadelphia, PA 19127"
Maria's Prime Time Bakery,"233 Morton Ave Folsom, PA 19033"
Conshohocken Italian Bakery,"79 Jones St Conshohocken, PA 19428"
Commons Café,"1 Logan Square Philadelphia, PA 19103"
A La Mousse,"920 Montgomery Ave Narberth, PA 19072"
Huda,"32 S 18th St Philadelphia, PA 19103"
More Sugar,"125 N 11th St Philadelphia, PA 19107"
Second Daughter Baking,"1901 S 9th St Ste 403 Philadelphia, PA 19148"
NaturallySweet Desserts,"2041 Green St Fl 2 Philadelphia, PA 19130"
Philly Cannoli King,"1205 S 9th St Philadelphia, PA 19147"
Ben-Gad Baking Company,"317 North Broad St Philadelphia, PA 19107"
The Franklin Fountain,"116 Market St Philadelphia, PA 19106"
Colombian Bakery,"4944 N 5th St Philadelphia, PA 19120"
Sweet T's Bakeshop,"14 Kings Ct Haddonfield, NJ 08033"
Vanilya,"1611 E Passyunk Ave Philadelphia, PA 19148"
The Cheesecake Lady,"910 Township Line Rd Elkins Park, PA 19027"
Musette,"2441 Aspen St Philadelphia, PA 19130"
The Bakery,"2300 S 3rd St Philadelphia, PA 19148"
High Fidelity Bakery,"1929 S 17th St Philadelphia, PA 19145"
Strawberry Bakery,"365 Lancaster Ave Malvern, PA 19355"
Nothing Bundt Cakes,"333 E Lancaster Ave Wynnewood, PA 19096"
Yummy Yummy,"52 N 10th St Philadelphia, PA 19107"
Two Sweet Boutique,"1526 Hurffville Rd Deptford, NJ 08096"
Desserts by Sprinkled Sweetness,"510 S 5th St Philadelphia, PA 19147"
Creme Brulee Bistro & Cafe,"1800 S 4th St Philadelphia, PA 19148"
Termini Bros Bakery,"1538 Packer Ave Philadelphia, PA 19145"
Stoltzfus Family Foods,"120 Coulter Ave Ardmore, PA 19003"
High Street Philadelphia,"101 S 9th St Philadelphia, PA 19107"
Carangi Baking,"2655 S Iseminger St Philadelphia, PA 19148"
Tiffany's Bakery,"1001 Market St Philadelphia, PA 19107"
El Café,"31 S 19th St Philadelphia, PA 19103"
Asia Bakery,"115 N 10th St Philadelphia, PA 19107"
ICI Macarons & Cafe - Temp. CLOSED,"11 N 3rd St Philadelphia, PA 19106"
Cakeposer,"43 E Lancaster Ave Paoli, PA 19301"
Metropolitan Bakery,"4013 Walnut St Philadelphia, PA 19104"
Crust Vegan Bakery,"4409 Main St Philadelphia, PA 19127"
Fritz's Bakery,"4201 Neshaminy Blvd Bensalem, PA 19020"
Cuor di Caffè,"100 Market St Philadelphia, PA 19106"
Famous 4th Street Cookie - Ridge Avenue,"4177 Ridge Ave Philadelphia, PA 19129"
Talula's Daily,"208 W Washington Square Philadelphia, PA 19106"
Brown Sugar Bakery & Cafe,"219 S 52nd St Philadelphia, PA 19139"
Gino's Bakery,"7142 Frankford Ave Philadelphia, PA 19135"
Traub's Bakery,"1020 Lincoln Ave Prospect Park, PA 19076"
Tous Les Jours,"393 West Lancaster Ave Haverford, PA 19041"
Flakely,"220 Krams Ave Philadelphia, PA 19127"
LeBus Bakery Outlet,"479 Shoemaker Rd King of Prussia, PA 19406"
La Madeleine French Bakery & Cafe,"1101 Market St Philadelphia, PA 19107"
Sweet As Fudge Candy Shoppe,"12th & Arch St Reading Terminal Market Philadelphia, PA 19107"
High Point Cafe,"602 Carpenter Ln Philadelphia, PA 19119"
Little Susie's Coffee & Pie,"2532 E Lehigh Ave Philadelphia, PA 19125"
Pop's Homemade Water Ice,"1337 W Oregon Ave Philadelphia, PA 19148"
Jimmies Cupcake,"Philadelphia, PA 19004"
T & F Farmers Pride,"8101 Ridge Ave Philadelphia, PA 19128"
Old Nelson Food Company,"129 S 30th St Philadelphia, PA 19104"
Paris Baguette,"6201 N Front St Philadelphia, PA 19120"
Queen Village Food Market & Deli,"629 South 4th St Philadelphia, PA 19147"
La Colombe,"8500 Essington Ave Philadelphia, PA 19153"
Netcost Market,"2417 Welsh Rd Philadelphia, PA 19114"
ReAnimator Coffee,"1523 E Susquehanna Ave Philadelphia, PA 19125"
Pagano's,"1216 W Township Line Rd Drexel Hill, PA 19026"
C1 Bakery Cafe,"6610 Castor Ave Philadelphia, PA 19149"
Italian Peoples Bakery - Levittown,"1142 Woodbourne Rd Levittown, PA 19056"
B2,"1500 E Passyunk Ave Philadelphia, PA 19147"
Tastykake,"3 Crescent Dr Ste 200 Philadelphia, PA 19112"
feine,"812 Fayette St Conshohocken, PA 19428"
Founding Farmers First Bake Cafe & Creamery,"255 Main St Ste 180 King of Prussia, PA 19406"
Zuzu's Kitchen,"1500 Ridge Ave Philadelphia, PA 19130"
Rustica,"903 N 2nd St Philadelphia, PA 19123"
Piazza's Bakery,"20 Penn Valley Rd Levittown, PA 19054"
Insomnia Cookies,"4319 Main St Philadelphia, PA 19127"
Honey Bee Gourmet Deli,"1034 Spruce St Philadelphia, PA 19107"
Mary's Gourmet Donut Shoppe,"498 Green Ln Bristol, PA 19007"
The Coventry Deli,"2000 Market St Philadelphia, PA 19103"
The Original Mart Soft Pretzel Bakery,"202 Rt 130 N Cinnaminson, NJ 08077"
Cafe Tinto,"143 E Wyoming Ave Philadelphia, PA 19120"
Arc Specialty Bakery,"704 Tuckahoe Rd Sewell, NJ 08080"
19 Degrees,"1847 Christian St Philadelphia, PA 19146"
Cacia's Bakery,"1010 S Black Horse Pike Blackwood, NJ 08012"
South Street Philly Bagels,"613 S 3rd St Philadelphia, PA 19147"
Mammoth Coffee,"534 W Girard Ave Philadelphia, PA 19123"
Germantown Espresso Bar,"6369 Germantown Ave Philadelphia, PA 19144"
Insomnia Cookies,"3417 Spruce St Philadelphia, PA 19104"
Spread Bagelry,"2401 Walnut St Philadelphia, PA 19103"
Shanks Original,"901 S Columbus Blvd Pier 40 Philadelphia, PA 19147"
Alif Brew & Mini Mart,"4501 Baltimore Ave Philadelphia, PA 19143"
Torch-Wood Cafe,"303 N 3rd St Philadelphia, PA 19106"
PrimoHoagies,"1528 W Ritner St Philadelphia, PA 19145"
Oregon Steaks,"2654 S 10th St Philadelphia, PA 19148"
Celebre Pizzeria,"1536 Packer Ave Philadelphia, PA 19145"
Le Bus,"Terminal F Southwest Philadelphia, PA 19153"
The Bagel Place,"404 Queen St Philadelphia, PA 19147"
Au Bon Pain,"2951 Market St Philadelphia, PA 19104"
Merrymead Farm,"2222 S Valley Forge Rd Lansdale, PA 19446"
Au Bon Pain,"421 Curie Blvd Philadelphia, PA 19104"
Nick's Old Original Roast Beef,"2149 S 20th St Philadelphia, PA 19145"
Grooveground,"647 Haddon Ave Collingswood, NJ 08108"
Dattilo's Delicatessen,"8000 Horrocks St Philadelphia, PA 19152"
Kung Fu Tea,"1006 Arch St Philadelphia, PA 19107"
The Green Line Cafe,"4239 Baltimore Ave Philadelphia, PA 19104"
Suzy-Jo Donuts,"49 E 4th St Bridgeport, PA 19405"
Del Buono's Bakery,"303 S White Horse Pike Stratford, NJ 08084"
The Station,"10 E Chestnut Ave Merchantville, NJ 08109"
Krispy Kreme,"1170 Haddon Ave Collingswood, NJ 08108"
Old City Coffee,"1136 Arch St Philadelphia, PA 19107"
Hearth Baker,"1118 N Broad St Lansdale, PA 19446"
Mama Buntz Donut,"421 Hurffville - Cross Keys Rd Sewell, NJ 08080"
Pancho's Café,"152 West Girard Ave Philadelphia, PA 19123"
Dixie Picnic,"215 Lancaster Ave Malvern, PA 19355"
Del Buono's Bakery,"34 West Route 70 Marlton, NJ 08053"
Last Drop,"1300 Pine St Philadelphia, PA 19107"
Au Bon Pain,"1625 Chestnut St Philadelphia, PA 19103"
Angels Donuts,"267 E County Line Rd Hatboro, PA 19040"
Tasty Way,N/A
Cinnabon,"1101 Market St Philadelphia, PA 19107"
Lennie's Hoagies,"6141 Ridge Ave Philadelphia, PA 19128"
Fitzwater Street Philly Bagels,"2001 Fitzwater St Philadelphia, PA 19146"
Jay's Deli,"1228 Spruce St Philadelphia, PA 19107"
Donut Plus,"1400 W Erie Ave Philadelphia, PA 19140"
7-Eleven,"3440 Market St Philadelphia, PA 19104"
Philly Pretzel Factory,"1401 W Passyunk Ave Philadelphia, PA 19145"
Locals Coffee & Eatery,"909 E Willow Grove Ave Wyndmoor, PA 19038"
Five Points Coffee,"47 Long Ln Upper Darby, PA 19082"
Skippack Village Italian Market,"4101 Skippack Pike Skippack Village, PA 19474"
The Original Bagel,"2914 W Chester Pike Broomall, PA 19008"
Tim Hortons,"57 White Horse Pike Stratford, NJ 08084"
Great Awakenings Cafe,"1466 E Cheltenham Ave Philadelphia, PA 19124"
Soltane Cafe,"138 Bridge St Phoenixville, PA 19460"
Cacia's Bakery - Cherry Hill,"2081 Old Marlton Pike Cherry Hill, NJ 08003"
Cacia's Bakery,"25 Sicklerville Rd Monroe Township, NJ 08094"
Cupcake Carnivale,"55 E Main St Moorestown, NJ 08057"
The Satellite Cafe,"701 S 50th St Philadelphia, PA 19143"
Duck Donuts,"201 Main St Ste 160 King Of Prussia, PA 19406"
Bagelicous,"1200 Delsea Dr Westville, NJ 08093"
Wawa,"3604 Chestnut St Philadelphia, PA 19104"
Antonio's Deli,"1014 Federal St Philadelphia, PA 19147"
Capital One Café,"135 S 17th St Ste A Philadelphia, PA 19103"
Hmart,"1138 Bristol Oxford Valley Rd Levittown, PA 19057"
Saxbys,"65 N 34th St Philadelphia, PA 19104"
Reen's Delicatessen,"12319 Academy Rd Parkwood Shopping Ctr Philadelphia, PA 19154"
Rival Bros Coffee,"1100 Tasker St Philadelphia, PA 19148"
The Freshworks of Port Richmond,"2634 Belgrade St Philadelphia, PA 19125"
Mazzanti's Market,"320 Lincoln Ave Bristol, PA 19007"
Up-RYES Bagel & Deli,"22 N Bryn Mawr Ave Bryn Mawr, PA 19010"
Hatville Deli,"1136 Arch St Reading Terminal Market Philadelphia, PA 19107"
silvio's deli,"100 N York Rd Ste B Hatboro, PA 19040"
Deeb's Bread,"257 Shell Rd Carneys Point, NJ 08069"
Heart Stone,"400 Franklin Ave Franklin Commons Phoenixville, PA 19460"